app_id,name,playtime_hours,last_played,achievements_total,achievements_unlocked,achievements_pct,avg_global_unlock_pct,rarity_floor,has_multiplayer_achievement,hltb_main_hours,hltb_completionist_hours,completionist_ratio,hltb_found
12750,GRID,0.0,0,0,0,0.0,0.0,0.0,False,21.54,63.42,2.944289693593315,True
12810,Overlord II,0.0,0,0,0,0.0,0.0,0.0,False,16.47,26.85,1.6302367941712206,True
12900,Audiosurf,3.966666666666667,1431359309,19,4,0.21052631578947367,19.868421052631575,1.6,False,7.76,16.92,2.180412371134021,True
16450,F.E.A.R. 2: Project Origin,0.0,0,0,0,0.0,0.0,0.0,False,7.11,10.88,1.5302390998593531,True
16730,Legendary,0.4,1390133632,0,0,0.0,0.0,0.0,False,5.16,6.79,1.315891472868217,True
17450,Dragon Age: Origins,12.7,1552666570,0,0,0.0,0.0,0.0,False,40.3,86.7,2.1513647642679903,True
17460,Mass Effect (2007),2.6,1502526112,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
17470,Dead Space (2008),1.65,1431952174,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
18110,Shattered Horizon,0.0,0,0,0,0.0,0.0,0.0,False,11.69,0.0,0.0,True
20500,Red Faction: Guerrilla Steam Edition,0.38333333333333336,1424090453,60,1,0.016666666666666666,6.941666666666672,1.6,True,10.020000000000001,10.020000000000001,1.0,False
20530,Red Faction,2.55,1408012614,0,0,0.0,0.0,0.0,False,6.0,8.9,1.4833333333333334,True
20550,Red Faction II,0.0,0,0,0,0.0,0.0,0.0,False,4.46,6.35,1.4237668161434978,True
20900,The Witcher: Enhanced Edition,1.7,1432460473,0,0,0.0,0.0,0.0,False,35.25,63.86,1.811631205673759,True
20920,The Witcher 2: Assassins of Kings Enhanced Edition,1.9166666666666667,1503004210,52,1,0.019230769230769232,19.49230769230769,2.0,False,8.684000000000001,8.684000000000001,1.0,False
21090,F.E.A.R.,6.25,1476959887,0,0,0.0,0.0,0.0,False,8.17,12.23,1.4969400244798041,True
21100,F.E.A.R. 3,0.0,0,50,0,0.0,14.100000000000001,1.9,False,5.77,17.6,3.0502599653379554,True
21110,F.E.A.R.: Extraction Point,0.0,0,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
21120,F.E.A.R.: Perseus Mandate,0.0,0,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
22000,World of Goo,0.36666666666666664,1381610666,8,0,0.0,3.0749999999999997,1.3,False,6.01,13.88,2.3094841930116474,True
22230,Rock of Ages,0.31666666666666665,1503126199,19,2,0.10526315789473684,19.97368421052632,2.2,True,4.07,11.85,2.911547911547911,True
22330,The Elder Scrolls IV: Oblivion Game of the Year Edition (2009),25.383333333333333,1467405160,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
22370,Fallout 3 - Game of the Year Edition,32.71666666666667,1496512177,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
22380,Fallout: New Vegas,61.95,1496431541,75,41,0.5466666666666666,17.585333333333335,1.9,False,26.84,130.79,4.8729508196721305,True
22600,Worms Reloaded,0.0,0,61,0,0.0,3.200000000000001,0.7,False,10.3,47.35,4.597087378640777,True
23490,Tropico 3 - Steam Special Edition,0.016666666666666666,1417020187,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
24010,Train Simulator Classic,0.21666666666666667,1380017495,1384,0,0.0,1.3249277456647357,0.3,True,12.59,0.0,0.0,True
24240,PAYDAY: The Heist,0.4666666666666667,1471714266,56,1,0.017857142857142856,8.889285714285714,3.3,True,9.99,48.79,4.883883883883883,True
24740,Burnout Paradise: The Ultimate Box,3.9166666666666665,1478361668,0,0,0.0,0.0,0.0,False,10.87,36.91,3.3955841766329344,True
25800,Europa Universalis III,0.06666666666666667,1378412712,0,0,0.0,0.0,0.0,False,62.6,658.76,10.52332268370607,True
26800,Braid,0.4,1417812501,12,1,0.08333333333333333,39.95833333333333,1.5,False,5.07,7.8,1.5384615384615383,True
29120,Yumsters! 2: Around the World!,0.0,0,0,0,0.0,0.0,0.0,False,0.0,0.0,1.0,False
29130,Musaic Box,3.783333333333333,1379335542,0,0,0.0,0.0,0.0,False,1.99,2.12,1.065326633165829,True
